"";"date";"gesamt"
"552";2011-06-11;185
"553";2011-06-12;525
"554";2011-06-13;295
"555";2011-06-14;527
"556";2011-06-15;547
"557";2011-06-16;440
"558";2011-06-17;390
"559";2011-06-18;61
"560";2011-06-19;124
"561";2011-06-20;368
"562";2011-06-21;522
"563";2011-06-22;491
"564";2011-06-23;152
"565";2011-06-24;406
"566";2011-06-25;303
"567";2011-06-26;544
"568";2011-06-27;884
"569";2011-06-28;797
"570";2011-06-29;766
"571";2011-06-30;254
"572";2011-07-01;424
"573";2011-07-02;306
"574";2011-07-03;302
"575";2011-07-04;840
"576";2011-07-05;872
"577";2011-07-06;964
"578";2011-07-07;851
"579";2011-07-08;531
"580";2011-07-09;418
"581";2011-07-10;304
"582";2011-07-11;691
"583";2011-07-12;914
"584";2011-07-13;528
"585";2011-07-14;521
"586";2011-07-15;674
"587";2011-07-16;548
"588";2011-07-17;320
"589";2011-07-18;483
"590";2011-07-19;806
"591";2011-07-20;236
"592";2011-07-21;645
"593";2011-07-22;417
"594";2011-07-23;234
"595";2011-07-24;276
"596";2011-07-25;665
"597";2011-07-26;935
"598";2011-07-27;882
"599";2011-07-28;566
"600";2011-07-29;530
"601";2011-07-30;318
"602";2011-07-31;589
"603";2011-08-01;785
"604";2011-08-02;967
"605";2011-08-03;678
"606";2011-08-04;575
"607";2011-08-05;504
"608";2011-08-06;461
"609";2011-08-07;118
"610";2011-08-08;443
"611";2011-08-09;497
"612";2011-08-10;679
"613";2011-08-11;711
"614";2011-08-12;630
"615";2011-08-13;390
"616";2011-08-14;448
"617";2011-08-15;152
"618";2011-08-16;747
"619";2011-08-17;788
"620";2011-08-18;729
"621";2011-08-19;437
"622";2011-08-20;471
"623";2011-08-21;381
"624";2011-08-22;664
"625";2011-08-23;627
"626";2011-08-24;597
"627";2011-08-25;582
"628";2011-08-26;570
"629";2011-08-27;149
"630";2011-08-28;589
"631";2011-08-29;715
"632";2011-08-30;702
"633";2011-08-31;712
"634";2011-09-01;477
"635";2011-09-02;554
"636";2011-09-03;494
"637";2011-09-04;423
"638";2011-09-05;209
"639";2011-09-06;889
"640";2011-09-07;543
"641";2011-09-08;369
"642";2011-09-09;585
"643";2011-09-10;512
"644";2011-09-11;546
"645";2011-09-12;772
"646";2011-09-13;909
"647";2011-09-14;433
"648";2011-09-15;759
"649";2011-09-16;787
