"";"date";"gesamt"
"440";2012-09-19;1859
"441";2012-09-20;3855
"442";2012-09-21;3938
"443";2012-09-22;1129
"444";2012-09-23;2782
"445";2012-09-24;3307
"446";2012-09-25;4562
"447";2012-09-26;4361
"448";2012-09-27;2860
"449";2012-09-28;3980
"450";2012-09-29;1796
"451";2012-09-30;1598
"452";2012-10-01;3288
"453";2012-10-02;4042
"454";2012-10-03;3315
"455";2012-10-04;3230
"456";2012-10-05;3617
"457";2012-10-06;3092
"458";2012-10-07;903
"459";2012-10-08;3450
"460";2012-10-09;1628
"461";2012-10-10;2120
"462";2012-10-11;3097
"463";2012-10-12;2068
"464";2012-10-13;2079
"465";2012-10-14;1893
"466";2012-10-15;1985
"467";2012-10-16;3201
"468";2012-10-17;3518
"469";2012-10-18;3668
"470";2012-10-19;3546
"471";2012-10-20;2613
"472";2012-10-21;1783
"473";2012-10-22;3032
"474";2012-10-23;2984
"475";2012-10-24;2895
"476";2012-10-25;3219
"477";2012-10-26;2610
"478";2012-10-27;558
"479";2012-10-28;357
"480";2012-10-29;1430
"481";2012-10-30;1759
"482";2012-10-31;2085
"483";2012-11-01;914
"484";2012-11-02;1965
"485";2012-11-03;1731
"486";2012-11-04;1302
"487";2012-11-05;2026
"488";2012-11-06;2053
"489";2012-11-07;2254
"490";2012-11-08;2706
"491";2012-11-09;2658
"492";2012-11-10;1811
"493";2012-11-11;545
"494";2012-11-12;2085
"495";2012-11-13;2541
"496";2012-11-14;2476
"497";2012-11-15;3055
"498";2012-11-16;2429
"499";2012-11-17;1538
"500";2012-11-18;1071
"501";2012-11-19;2334
"502";2012-11-20;2353
"503";2012-11-21;2260
"504";2012-11-22;2066
"505";2012-11-23;2164
"506";2012-11-24;1620
"507";2012-11-25;1342
"508";2012-11-26;2665
"509";2012-11-27;2407
"510";2012-11-28;2022
"511";2012-11-29;1117
"512";2012-11-30;1492
"513";2012-12-01;1054
"514";2012-12-02;600
"515";2012-12-03;1198
"516";2012-12-04;1377
"517";2012-12-05;1691
"518";2012-12-06;998
"519";2012-12-07;815
"520";2012-12-08;497
"521";2012-12-09;349
